raman_shift	intensity
912.20087	203
913.2074	202
914.21637	202
915.22644	201
916.23517	203
917.24255	203
918.2511	206
919.2608	201
920.2666	203
921.27484	204
922.28424	204
923.28979	205
924.29895	205
925.30682	203
926.31329	202
927.32092	203
928.32843	201
929.33459	203
930.34198	205
931.34796	204
932.35504	207
933.36334	209
934.3678	210
935.37585	205
936.38007	207
937.38794	206
938.39203	209
939.39844	209
940.4035	209
941.40973	208
942.41461	207
943.42065	208
944.42535	209
945.43115	211
946.43561	211
947.44128	211
948.44556	210
949.45099	209
950.45508	209
951.46027	207
952.46289	210
953.46667	209
954.47162	212
955.47522	209
956.47992	209
957.48334	209
958.48535	212
959.49103	212
960.49286	212
961.49585	212
962.5	211
963.50275	210
964.50421	208
965.50928	213
966.5105	210
967.51294	208
968.51642	209
969.51862	210
970.51947	212
971.52148	209
972.5246	211
973.52637	211
974.52679	210
975.52844	212
976.53113	211
977.53131	209
978.53259	209
979.53375	213
980.53363	214
981.53589	212
982.53674	211
983.53632	210
984.53699	214
985.5376	210
986.53687	207
987.53723	209
988.53882	210
989.53778	208
990.53784	209
991.53784	210
992.5365	207
993.53632	208
994.53479	205
995.53436	206
996.53265	207
997.53204	205
998.53015	207
999.52936	204
1000.5272	207
1001.5262	207
1002.5239	204
1003.5227	205
1004.5201	205
1005.5188	203
1006.5161	206
1007.5145	206
1008.5115	203
1009.5098	203
1010.5079	205
1011.5046	205
1012.5026	202
1013.4991	207
1014.4969	205
1015.4933	205
1016.4883	205
1017.4845	203
1018.4819	205
1019.4778	203
1020.475	204
1021.4708	205
1022.4652	205
1023.4621	204
1024.4575	204
1025.4542	205
1026.4495	205
1027.4435	205
1028.4386	205
1029.4348	205
1030.4297	203
1031.4258	205
1032.4193	203
1033.4138	202
1034.4097	203
1035.4016	204
1036.3971	203
1037.3914	202
1038.3867	205
1039.3795	204
1040.3734	203
1041.3685	204
1042.3597	205
1043.3546	203
1044.3481	205
1045.3403	204
1046.335	203
1047.3257	202
1048.3201	204
1049.3131	204
1050.3048	202
1051.2976	203
1052.2892	203
1053.2831	204
1054.2731	203
1055.2668	205
1056.2592	204
1057.2502	206
1058.2435	205
